"barIndex","Time","trendSide","fastGrad","slowGrad","accel","adx","rsi","gradStab","bandwidth","close","fastEMA","slowEMA"
"3810","09:45:00","BULL","0.261098751845566","-0.221489644653047","0.263565141143772","31.4430753744119","43.8484429437265","0.482588396498613","0.000129277148133047","25362.75","25361.5750556167","25364.8541516242"
"3811","09:45:30","BULL","0.341725425067125","-0.131234395052161","0.306553297301434","29.8509587951507","45.0428159335678","0.472959820119286","0.000109777999984119","25363.5","25361.9622355872","25364.746726753"
"3812","09:46:00","BEAR","-0.0468527513949084","-0.31034585856105","-0.112820029480645","29.1495348955823","42.2031167261204","0.263493107166141","0.000107925677138431","25361.25","25361.4608373813","25364.1982856563"
"3813","09:46:30","BULL","0.234393203405489","-0.115256230306841","0.453147248605092","28.0459036189399","45.5628037802551","0.349649433712329","8.47529714969148E-05","25363.25","25362.1952305847","25364.3449341879"
"3814","09:47:00","BEAR","-0.114008866636141","-0.278882621070807","-0.0837886147746758","26.8415530613568","43.0440862407901","0.164873754434666","8.42277824834216E-05","25361.25","25361.7630398999","25363.8993849002"
"3815","09:47:30","BULL","0.129860514076427","-0.123070670764719","0.158718406091793","26.6237379466209","45.3911721314742","0.252931184841145","6.91353601060034E-05","25362.75","25362.1656276867","25363.9191713723"
"3816","09:48:00","BEAR","-0.0301141248492058","-0.182778225927905","0.129860514076427","26.7435158393021","44.2879452197023","0.152664101078699","6.31168673147962E-05","25362.0","25362.1355135618","25363.7363931463"
"3817","09:48:31","BULL","0.363790922645421","0.054583872686635","0.333522238786827","25.5335875433813","48.4531349672613","0.309207049958786","4.40984536862115E-05","25364.5","25362.8629408481","25363.9814532095"
"3818","09:49:01","BULL","0.128225630924135","-0.0537891945568845","0.0456091044652567","25.1343689979729","46.5576228834067","0.182014825481019","4.28963467822182E-05","25363.25","25362.6729846608","25363.7609973483"
"3819","09:49:32","BULL","0.0305317145575827","-0.0917503143464273","0.037316540016036","23.1580045599693","45.6100291401904","0.12228202890401","3.97822013208054E-05","25362.75","25362.6126072845","25363.6216279863"
"3820","09:50:00","BEAR","-0.0411352087467094","-0.123828515701462","-0.105831921806384","22.7015061335805","44.8908679312702","0.0826933069547522","3.90823560395727E-05","25362.25","25362.4351084394","25363.4263708992"
"3821","09:50:31","BULL","0.309319126725313","0.0841098009877896","0.322501154885686","20.4044599655174","49.4333633872121","0.225209325737524","2.33756486060854E-05","25364.5","25363.1080639297","25363.7009568906"
"3822","09:51:01","BULL","0.298533830959059","0.0999088675598614","0.309319126725313","19.0328294956455","49.9603696002955","0.198624963399197","1.55445155718432E-05","25364.75","25363.4065977607","25363.8008657582"
"3823","09:51:31","BEAR","-0.00781116310463403","-0.0581323397855158","-0.0651025326769741","18.4756991525267","46.6032772286125","0.0503211766808818","2.03877985525329E-05","25363.0","25363.0351502339","25363.5522572279"
"3824","09:52:01","BEAR","-0.382424009476381","-0.280487082934997","-0.689629344920831","18.808623685284","42.3915424178401","0.101936926541384","3.72086275998399E-05","25360.25","25361.9709080427","25362.9146272879"
"3825","09:52:31","BEAR","-0.680660966430878","-0.479397610182787","-1.10969673675208","20.0181249738333","38.7654634135782","0.201263356248091","5.88005581677811E-05","25357.5","25360.5629743489","25362.0542772967"
"3826","09:53:00","BEAR","-0.639549055184034","-0.479092168850912","-0.726115511886746","20.7409791958479","37.8285711599769","0.160456886333122","6.59819595017406E-05","25357.0","25359.8779707483","25361.5513756041"
"3827","09:53:30","BEAR","-0.225746747630183","-0.261128742335131","-0.275912691548001","20.8854408250832","42.2057359238518","0.0353819947049487","5.77593518255177E-05","25359.0","25360.0158603643","25361.4807230522"
"3828","09:54:00","BEAR","-0.659908495992568","-0.514037116085092","-0.86211038399415","21.5445284200929","37.625796222443","0.145871379907476","7.54620101251584E-05","25355.75","25358.719588232","25360.6333526028"
"3829","09:54:31","BEAR","-0.457280504986556","-0.419729726341757","-0.614453950536699","21.9911871539411","38.8114950973267","0.0375507786447997","7.6090380974403E-05","25356.25","25358.3077622724","25360.2374324003"
"3830","09:55:00","BEAR","-0.254303884245019","-0.31286204265416","-0.366371414078458","20.0456312683458","40.6126225700495","0.0585581584091415","7.20750761271491E-05","25357.0","25358.1443674791","25359.9721894052"
"3831","09:55:35","BEAR","-0.352694913555752","-0.356761802762776","-0.20884933878915","19.6646774981673","39.4837996191364","0.00406688920702436","7.1062131382444E-05","25356.25","25357.837127111","25359.6392371263"
"3832","09:56:00","BULL","0.54614217816561","0.155673561672302","0.55639599553615","18.4052252295194","50.9891683010737","0.390468616493308","3.85934740988276E-05","25361.75","25359.2923601982","25360.2711011641"
"3833","09:56:35","BULL","0.777422112711065","0.322253403868672","0.727960359985445","18.6572425698129","54.7001365730225","0.455168708842393","1.72310845921954E-05","25363.75","25360.2516004928","25360.6885926632"
"3835","09:57:31","BEAR","-0.289869945583632","-0.218712552130455","-0.520952155711711","17.1399414130176","44.2135836195986","0.0711573934531771","3.04949573553726E-05","25358.0","25359.3044147551","25360.0777692452"
"3836","09:58:01","BEAR","-0.551215905892604","-0.374753533560579","-0.562597218311566","17.2824459666606","40.6775562214541","0.176462372332026","4.25751466332961E-05","25356.0","25358.4804715765","25359.5601585688"
"3837","09:58:31","BEAR","-0.182399790770432","-0.18600149634949","-0.27848863316467","16.3904766616258","44.2571142651523","0.00360170557905803","3.73120338344089E-05","25357.75","25358.5707990585","25359.5170142153"
"3838","09:59:00","BEAR","-0.0665915643512562","-0.122935594201408","-0.136945245314564","15.7704122704196","45.3998921503669","0.0563440298501519","3.42368310341898E-05","25358.25","25358.5496620396","25359.4178881449"
"3839","09:59:30","BULL","0.106673017602589","-0.0103204128936341","0.297044799284777","15.2178495477952","48.155019265458","0.116993430496223","2.2795018308469E-05","25359.5","25359.0199714208","25359.5980439225"
"3840","10:00:00","BEAR","-0.243300588907005","-0.190743412120355","-0.0751451642172469","15.0323472180251","44.3840774063423","0.0525571767866495","2.82819093557249E-05","25357.5","25358.5948526501","25359.3120624151"
"3841","10:00:30","BEAR","-0.847824448777828","-0.543325672191713","-0.925118770723202","15.5017805331773","37.8016662014557","0.304498776586115","5.30941719811192E-05","25353.25","25357.0652100195","25358.4115938858"
"3842","10:01:00","BEAR","-0.111029920899455","-0.161648397286626","-0.30236990332196","15.1039103671657","45.3756501053048","0.0506184763871715","4.08550850137587E-05","25357.0","25357.499634644","25358.5356597742"
"3843","10:01:30","BEAR","-0.119768282391306","-0.165527688248403","-0.201939011807553","13.5067741773971","44.9140641094039","0.0457594058570976","4.07580496346213E-05","25356.75","25357.2889572707","25358.3225130384"
