Timestamp,Bar,Direction,FastGradient,FastEMA,SlowEMA,Close,MaxFavorableMove,BarsToPeak,BlockedReason,Status
2025-11-21 04:23:30,406,SHORT,-2.1866,24182.34,24183.82,24172.50,0.00,0,"RSI<50.0(39.0) ADX:19.3 ATR:8.75 RSI:39.0 GradStab:0.907 BW:0.0001 Accel:-2.383,0,406",MISSED_FLAT
2025-11-21 04:30:30,420,SHORT,-0.8017,24186.11,24186.76,24182.50,0.00,0,"ADX<18(17.0)|RSI<50.0(45.8) ADX:17.0 ATR:7.91 RSI:45.8 GradStab:0.620 BW:0.0000 Accel:-1.165,0,420",MISSED_FLAT
2025-11-21 04:41:00,441,LONG,1.5057,24198.72,24196.26,24205.50,0.00,0,"ADX<18(16.5)|GradStab>1.46(1.595) ADX:16.5 ATR:9.40 RSI:58.1 GradStab:1.595 BW:0.0001 Accel:+2.984,0,441",MISSED_FLAT
2025-11-21 05:26:30,532,LONG,0.5001,24180.50,24179.24,24182.75,0.00,0,"ADX<18(15.4) ADX:15.4 ATR:6.96 RSI:54.2 GradStab:0.949 BW:0.0001 Accel:+1.096,0,532",MISSED_FLAT
2025-11-21 05:40:30,560,LONG,0.8370,24203.48,24199.03,24207.25,0.00,0,"GradStab>1.46(2.344) ADX:20.0 ATR:10.94 RSI:56.2 GradStab:2.344 BW:0.0002 Accel:+2.546,0,560",MISSED_FLAT
2025-11-21 06:02:00,603,SHORT,-0.6376,24199.12,24201.87,24196.25,0.00,0,"ADX<18(14.8)|RSI<50.0(43.5) ADX:14.8 ATR:7.26 RSI:43.5 GradStab:0.572 BW:0.0001 Accel:-0.803,0,603",MISSED_FLAT
2025-11-21 06:06:30,612,SHORT,-1.2234,24187.26,24191.93,24181.75,0.00,0,"RSI<50.0(36.8) ADX:24.2 ATR:7.65 RSI:36.8 GradStab:0.434 BW:0.0002 Accel:-1.274,0,612",MISSED_FLAT
2025-11-21 06:21:00,641,SHORT,-0.6808,24171.81,24174.95,24168.75,0.00,0,"RSI<50.0(41.9) ADX:22.3 ATR:7.66 RSI:41.9 GradStab:0.681 BW:0.0001 Accel:-0.793,0,641",MISSED_FLAT
2025-11-21 06:36:00,671,SHORT,-1.6610,24134.47,24139.91,24127.00,0.00,0,"RSI<50.0(35.6) ADX:32.7 ATR:8.93 RSI:35.6 GradStab:0.924 BW:0.0002 Accel:-1.702,0,671",MISSED_FLAT
2025-11-21 07:08:00,735,LONG,2.2348,24175.69,24170.46,24185.75,0.00,0,"GradStab>1.46(1.578) ADX:29.3 ATR:10.56 RSI:62.2 GradStab:1.578 BW:0.0002 Accel:+2.301,0,735",MISSED_FLAT
2025-11-21 07:43:00,805,SHORT,-0.8524,24139.09,24145.17,24135.25,0.00,0,"RSI<50.0(36.1) ADX:37.5 ATR:6.99 RSI:36.1 GradStab:0.602 BW:0.0003 Accel:-0.992,0,805",MISSED_FLAT
2025-11-21 07:48:00,815,SHORT,-1.6187,24142.28,24144.39,24135.00,0.00,0,"RSI<50.0(39.2) ADX:24.6 ATR:7.49 RSI:39.2 GradStab:0.828 BW:0.0001 Accel:-1.979,0,815",MISSED_FLAT
2025-11-21 07:52:30,824,SHORT,-0.9033,24139.32,24141.38,24135.25,0.00,0,"RSI<50.0(43.4) ADX:21.2 ATR:8.48 RSI:43.4 GradStab:0.595 BW:0.0001 Accel:-1.178,0,824",MISSED_FLAT
