ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-19 12:10:00.000,PLOT,1339,BULL,Triangle drawn on chart,netflow=-2.00
2025-11-19 12:10:30.000,LOGGED,1340,BULL,Written to signals CSV,"price=24671.00,netflow=-2.00"
2025-11-19 12:10:30.000,PLOT,1340,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-19 12:11:00.000,LOGGED,1341,BEAR,Written to signals CSV,"price=24671.50,netflow=-2.00"
2025-11-19 12:13:30.000,PLOT,1346,BULL,Triangle drawn on chart,netflow=0.57
2025-11-19 12:14:00.000,LOGGED,1347,BULL,Written to signals CSV,"price=24674.50,netflow=0.57"
2025-11-19 12:34:30.000,PLOT,1388,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 12:35:00.000,LOGGED,1389,BEAR,Written to signals CSV,"price=24680.25,netflow=-3.00"
2025-11-19 12:46:30.000,PLOT,1412,BULL,Triangle drawn on chart,netflow=0.48
2025-11-19 12:47:00.000,LOGGED,1413,BULL,Written to signals CSV,"price=24696.00,netflow=0.48"
2025-11-19 12:50:00.000,PLOT,1419,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 12:50:30.000,LOGGED,1420,BEAR,Written to signals CSV,"price=24686.00,netflow=-1.00"
2025-11-19 12:54:00.000,PLOT,1427,BULL,Triangle drawn on chart,netflow=3.02
2025-11-19 12:54:30.000,LOGGED,1428,BULL,Written to signals CSV,"price=24702.75,netflow=3.02"
2025-11-19 13:30:30.000,PLOT,1500,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-19 13:31:00.000,LOGGED,1501,BEAR,Written to signals CSV,"price=24705.50,netflow=-2.00"
2025-11-19 13:41:30.000,PLOT,1522,BULL,Triangle drawn on chart,netflow=1.89
2025-11-19 13:42:00.000,LOGGED,1523,BULL,Written to signals CSV,"price=24706.25,netflow=1.89"
2025-11-19 13:45:00.000,PLOT,1529,BEAR,Triangle drawn on chart,netflow=0.29
2025-11-19 13:45:30.000,LOGGED,1530,BEAR,Written to signals CSV,"price=24707.75,netflow=0.29"
2025-11-19 13:46:00.000,PLOT,1531,BULL,Triangle drawn on chart,netflow=1.53
2025-11-19 13:46:30.000,LOGGED,1532,BULL,Written to signals CSV,"price=24713.25,netflow=1.53"
2025-11-19 13:55:30.000,PLOT,1550,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 13:56:00.000,LOGGED,1551,BEAR,Written to signals CSV,"price=24698.00,netflow=-3.00"
2025-11-19 14:23:00.000,PLOT,1605,BULL,Triangle drawn on chart,netflow=1.46
2025-11-19 14:23:30.000,LOGGED,1606,BULL,Written to signals CSV,"price=24706.75,netflow=1.46"
2025-11-19 14:25:00.000,PLOT,1609,BEAR,Triangle drawn on chart,netflow=-0.53
2025-11-19 14:25:30.000,LOGGED,1610,BEAR,Written to signals CSV,"price=24703.75,netflow=-0.53"
2025-11-19 14:31:00.000,PLOT,1621,BULL,Triangle drawn on chart,netflow=2.29
2025-11-19 14:31:30.000,LOGGED,1622,BULL,Written to signals CSV,"price=24706.50,netflow=2.29"
2025-11-19 14:38:30.000,PLOT,1636,BEAR,Triangle drawn on chart,netflow=0.18
2025-11-19 14:39:00.000,LOGGED,1637,BEAR,Written to signals CSV,"price=24708.25,netflow=0.18"
2025-11-19 14:39:00.000,PLOT,1637,BULL,Triangle drawn on chart,netflow=2.62
2025-11-19 14:39:30.000,LOGGED,1638,BULL,Written to signals CSV,"price=24717.75,netflow=2.62"
2025-11-19 14:41:30.000,PLOT,1642,BEAR,Triangle drawn on chart,netflow=-0.99
2025-11-19 14:42:00.000,LOGGED,1643,BEAR,Written to signals CSV,"price=24711.00,netflow=-0.99"
2025-11-19 14:42:00.000,PLOT,1643,BULL,Triangle drawn on chart,netflow=-1.08
2025-11-19 14:42:30.000,LOGGED,1644,BULL,Written to signals CSV,"price=24711.00,netflow=-1.08"
