ts_local,bar_time_utc,bar_index,open,high,low,close,vpm,attract,objection,netflow,ema_color,momentum,supertrend,upper_band,lower_band,bull_cross,bear_cross,bull_cross_raw,bear_cross_raw,bull_reason,bear_reason,realtime_state,realtime_reason,regime,atr30,ema10,ema20,energy_ema_first,range_max,range_min,range_mid,range_os,range_count,score_bull,score_bear,adx,atr_ratio,ema_spread,price_to_band,momentum_ext,range_break,exit_long,exit_short
2025-11-17 13:46:30.000,2025-11-17T19:46:30.0000000Z,1532,25197.5,25201,25191.25,25194.5,2,2,6.5,-4.5,0,-0.0013971600986930112,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.2919641727473765,25205.009128327671,25211.845308274398,25208.676759549737,25218.270200705985,25204.954799294013,25211.612499999999,-1,18,940.62379790385421,6,6,27.980009958556828,0.00028581074766542995,-1.3305440564964166,0.47814391392064515,-0.0015602934931811224,1,0,0
2025-11-17 13:47:00.000,2025-11-17T19:47:00.0000000Z,1533,25194.5,25198.75,25194.5,25197,2,1.5,4.5,-3,0,-0.0010605084493780664,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.2025098114335755,25204.015733094537,25210.694507939876,25207.121407639788,25218.270200705985,25204.954799294013,25211.612499999999,-1,17,813.30475415812498,5,5,29.230839234547009,0.00028749319144740144,-1.2475454750582544,0.47814391392064515,-0.0014912696531563562,1,0,0
2025-11-17 13:47:30.000,2025-11-17T19:47:30.0000000Z,1534,25197.5,25205,25197.5,25200.5,2,2.5,6,-3.5,0,-0.00064441293981183146,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.2207594843857903,25203.731880796353,25209.934486775532,25206.897126111831,25218.270200705985,25204.954799294013,25211.612499999999,-1,17,774.86983610541665,6,6,27.981971061503849,0.00028315712291858978,-1.1578300837960578,0.5,-0.0013629225800717015,1,0,0
2025-11-17 13:48:00.000,2025-11-17T19:48:00.0000000Z,1535,25200,25205.5,25199.25,25205.5,2,1.5,2.5,-1,0,-0.00034702598728893381,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,,[RT-FLAT],FLAT,NONE_UP|diff=5.50|BULL_FAIL:net<1.00&ema<8|BEAR_FAIL:obj<4.00,BEAR,7.1736786126840419,25204.916993378833,25210.009887127973,25207.54770088947,25218.270200705985,25204.954799294013,25211.612499999999,-1,19,747.46877962583346,1,1,27.752342804501072,0.00028357743212542867,-1.0224266470648671,0.55055147058823395,-0.00090892924183445638,0,0,0
2025-11-17 13:48:30.000,2025-11-17T19:48:30.0000000Z,1536,25205.75,25211.25,25203.5,25205,2,2,4.5,-2.5,0,-0.00011900983814662013,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.1845559922612408,25204.865969789291,25209.491938694016,25207.968160711574,25218.270200705985,25204.954799294013,25211.612499999999,-1,17,779.86807530611122,2,2,25.755428233154344,0.00028199673410861739,-0.86830454622578601,0.61488970588234981,-0.00071137809745879931,0,0,0
2025-11-17 13:49:00.000,2025-11-17T19:49:00.0000000Z,1537,25205.25,25208.25,25200.75,25206,2,1.5,2.5,-1,0,-5.9506099375185959E-05,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-FLAT],FLAT,NONE_UP|diff=0.75|BULL_FAIL:net<1.00&ema<8|BEAR_FAIL:obj<4.00,BEAR,7.187015236963644,25205.138272802807,25209.200189430638,25208.004528569265,25218.270200705985,25204.954799294013,25211.612499999999,-1,16,721.24538353740752,1,1,25.463822745146619,0.00028086679420826247,-0.77160890281193728,0.56433823529411598,-0.00062257885998893189,0,0,0
2025-11-17 13:49:30.000,2025-11-17T19:49:30.0000000Z,1538,25205.75,25206,25201.5,25202.75,2,1.5,6.5,-5,0,-0.00038671294000991571,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.1093925068426342,25204.121396756018,25208.255953702552,25206.843622855413,25218.270200705985,25204.954799294013,25211.612499999999,-1,13,589.05247791382726,5,5,24.874333201268847,0.00028334258229207129,-0.64775537444038567,0.61029411764705588,-0.00052375681872084752,1,0,0
2025-11-17 13:50:00.000,2025-11-17T19:50:00.0000000Z,1539,25202,25203,25197.5,25197.5,2,1,7,-6,0,-0.00082281680925520211,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.0338016455034351,25202.293539494593,25206.867631581219,25205.184898284329,25218.270200705985,25204.954799294013,25211.612499999999,-1,11,629.36831860921825,5,5,25.292948485953303,0.00028406704413074722,-0.49718562179709896,0.68841911764705377,4.9431048630265642E-05,1,0,0
2025-11-17 13:50:30.000,2025-11-17T19:50:30.0000000Z,1540,25197.75,25202,25196.25,25200.75,2,2,4,-2,0,-0.00068403521294313583,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,6.9765638128755425,25202.459176941855,25206.543503403416,25204.977918627468,25218.270200705985,25204.954799294013,25211.612499999999,-1,10,620.68999018392333,5,5,25.505864528889184,0.00028414591272702913,-0.36926628626918928,0.7022058823529358,0.00024719678841932487,1,0,0
2025-11-17 13:51:00.000,2025-11-17T19:51:00.0000000Z,1541,25200.75,25209,25199.25,25207,2,1.5,2.5,-1,1,-0.00049564820872737361,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,,[RT-FLAT],FLAT,NONE_UP|diff=6.25|BULL_FAIL:net<1.00&ema<8|BEAR_FAIL:obj<4.00,BEAR,7.066511685779691,25204.259987745812,25207.149337546405,25206.752334901976,25218.270200705985,25204.954799294013,25211.612499999999,-1,10,549.79332678928222,1,1,23.072184767521939,0.00028560199564335001,-0.32392308747544163,0.61488970588234981,0.0001384411526214821,0,0,0
