ts_local,bar_time_utc,bar_index,open,high,low,close,vpm,attract,objection,netflow,ema_color,momentum,supertrend,upper_band,lower_band,bull_cross,bear_cross,bull_cross_raw,bear_cross_raw,bull_reason,bear_reason,realtime_state,realtime_reason,regime,atr30,ema10,ema20,energy_ema_first,range_max,range_min,range_mid,range_os,range_count,score_bull,score_bear,adx,atr_ratio,ema_spread,price_to_band,momentum_ext,curvature_ratio,range_break,exit_long,exit_short
2025-11-19 07:45:30.000,2025-11-19T13:45:30.0000000Z,810,24461,24467,24458,24462.75,2,3.5,4,-0.5,0,-0.0016222834404652586,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.7556007154049915,24469.17685501559,24479.921044869727,24472.343728576314,24523.734325159843,24505.990674840155,24514.862499999999,-1,6,808.48657484852117,7,7,35.822091271460273,0.00032424440430536122,-0.51813495004273113,0.5,-0.00070149041296435611,1.9589080095863269,1,0,0
2025-11-19 07:46:00.000,2025-11-19T13:46:00.0000000Z,811,24462.75,24462.75,24455.5,24459.5,2,3,4,-1,0,-0.0015715568617846354,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.7140251360026024,24466.843046665643,24477.64851905447,24469.674982861052,24523.734325159843,24505.990674840155,24514.862499999999,-1,7,894.3243832323476,7,7,36.724716853514771,0.00032091979927260553,-0.54735025449703845,0.47140522875816859,-0.00063041444665880341,2.2935336832116837,1,0,0
2025-11-19 07:46:30.000,2025-11-19T13:46:30.0000000Z,812,24459,24461,24446.5,24448,2,3,6.5,-3.5,0,-0.0020613506949405066,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.8830020759136268,24461.735219999162,24473.853195244294,24465.609986288844,24523.734325159843,24505.990674840155,24514.862499999999,-1,6,965.99403326600964,7,7,38.599318425901707,0.00031705378607724624,-0.60403971974564685,0.42470389170895367,-0.00086420757249176458,1.9290105515567124,1,0,0
2025-11-19 07:47:00.000,2025-11-19T13:47:00.0000000Z,813,24447.75,24457.75,24446.75,24454,2,3,4,-1,0,-0.001368044920877999,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.9332908956053974,24461.258568429068,24472.500963497674,24464.887989031075,24523.734325159843,24505.990674840155,24514.862499999999,-1,7,1033.9960221773399,7,7,39.748335775931515,0.00031667093585443715,-0.63967025183586523,0.41201353637900412,-0.0010267462310280678,2.0642395561298339,1,0,0
2025-11-19 07:47:30.000,2025-11-19T13:47:30.0000000Z,814,24454,24468.25,24454,24466.5,2,2.5,4.5,-2,0,-0.00049022611679637234,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,9.0946811990852172,24464.071060119648,24473.006540670227,24467.490391224863,24523.734325159843,24505.990674840155,24514.862499999999,-1,8,991.7751258960044,5,5,36.936220680366084,0.0003149378618837015,-0.66082078093322882,0.40778341793568762,-0.00055938650556335305,1.8855076854575223,1,0,0
2025-11-19 07:48:00.000,2025-11-19T13:48:00.0000000Z,815,24466.5,24469.25,24463.5,24467.25,2,2.5,4.5,-2,0,-0.0002349528051321865,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,9.0101362702268197,24464.942437618556,24472.618162647213,24468.082312979896,24523.734325159843,24505.990674840155,24514.862499999999,-1,9,1012.5167505973362,5,5,35.873204141009708,0.00031432505778950903,-0.7058692851837417,0.34433164128593985,-0.00090501418533470276,0.11437863276339991,1,0,0
2025-11-19 07:48:30.000,2025-11-19T13:48:30.0000000Z,816,24468.25,24485.5,24468.25,24482.5,2,4,4.5,-0.5,6,4.0847170312276615E-05,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,9.2822983945525923,24470.345465489561,24474.834800218228,24473.825850383917,24523.734325159843,24505.990674840155,24514.862499999999,-1,10,1253.9000559537797,5,5,32.525848889663237,0.00032103237484403332,-0.61175710315043397,0.4966159052453345,-0.00074216406909242483,1.7538940508529581,1,0,0
2025-11-19 07:49:00.000,2025-11-19T13:49:00.0000000Z,817,24483,24489,24481,24483.5,2,3.5,6.5,-3,6,0.00038816703440385718,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,9.2312217814008406,24472.902488293112,24475.750760288145,24476.82068030713,24523.734325159843,24505.990674840155,24514.862499999999,-1,9,1129.4889261914086,5,5,31.318920653892608,0.00032214545604714577,-0.49415552079809449,0.56852791878171527,-0.00054900924165556789,43.251867539490078,1,0,0
2025-11-19 07:49:30.000,2025-11-19T13:49:30.0000000Z,818,24484,24488,24476.5,24481.25,2,3.5,6.5,-3,5,0.00054152362269086157,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,9.29462549979859,24474.102035876182,24476.085154999932,24478.446544245708,24523.734325159843,24505.990674840155,24514.862499999999,-1,7,1022.5481730164947,5,5,28.814436592596827,0.00032642312217453069,-0.47332661861961073,0.44585448392553628,-0.00074225462383959166,3.116010193488195,1,0,0
2025-11-19 07:50:00.000,2025-11-19T13:50:00.0000000Z,819,24481.75,24485,24476.25,24482.5,2,2.5,4.5,-2,5,0.00058238737956331163,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,9.2673046498053022,24475.831417782989,24476.808337516948,24479.877235396569,24523.734325159843,24505.990674840155,24514.862499999999,-1,5,825.25433756655207,3,3,26.936622314912768,0.00032467380376931514,-0.43510406668168183,0.47969543147206839,-0.00032548110175352945,2.1243057904961122,1,0,0
2025-11-19 07:50:30.000,2025-11-19T13:50:30.0000000Z,820,24483,24494.5,24481.5,24493,2,3,5.5,-2.5,12,0.001195646619998978,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,,,FLAT,NONE_UP|diff=10.00|BULL_FAIL:net<1.00&obj>3.00|BEAR_FAIL:ema>6,BEAR,9.3611722725895685,24480.440581491868,24479.21207861511,24484.341788317259,24523.734325159843,24505.990674840155,24514.862499999999,-1,5,802.39178059992366,4,4,27.141294457465911,0.00032169114422563147,-0.43401450490507992,0.42893401015227023,-0.00022381834089568031,1.6822696933575751,1,0,0
2025-11-19 07:51:00.000,2025-11-19T13:51:00.0000000Z,821,24493,24512.75,24492.5,24510,2,6.3071895166633301,1,5.3071895166633301,15,0.0016141885126989641,24437.650000000001,24498.849999999999,24437.650000000001,1,0,1,0,[CROSS]|[EMA15-STABLE]|[RT-BULL]|[RT-PLOT],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,9.7016331968365837,24488.34394684045,24483.609114211857,24492.633430653805,24523.734325159843,24505.990674840155,24514.862499999999,-1,4,1078.9278537332825,6,4,29.029844856189893,0.00031703812176229069,-0.3982570247357477,0.47870528109028854,-1.0174596068536078E-05,1.6850143986290032,0,0,0
2025-11-19 07:51:30.000,2025-11-19T13:51:30.0000000Z,822,24510,24517,24502.5,24515.5,2,6.5349161205434836,0,6.5349161205434836,15,0.0020846532731100165,24437.650000000001,24614.099999999999,24437.650000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,9.8621343124975862,24494.190501960366,24487.167883379887,24498.426744523047,24523.734325159843,24505.990674840155,24514.862499999999,-1,3,1131.0630135999661,4,4,30.000168073366289,0.00031589264606220478,-0.29730889374664682,0.57666098807496124,5.086418245999532E-05,0.30007693912732547,0,0,0
2025-11-19 07:52:00.000,2025-11-19T13:52:00.0000000Z,823,24516,24516,24506.5,24514,2,7.5,0,7.5,15,0.0021564719709745005,24449.400000000001,24578.599999999999,24449.400000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,9.8400631687476672,24497.585617306417,24489.598606504707,24501.641395618441,24523.734325159843,24505.990674840155,24514.862499999999,-1,2,1211.1531201777552,5,5,30.670249026082967,0.00031589356780262532,-0.23317480729679538,0.55110732538330742,5.0867287247571086E-05,2.907274569632071,0,0,0
2025-11-19 07:52:30.000,2025-11-19T13:52:30.0000000Z,824,24514.5,24520,24512.5,24516.5,2,7.5,0,7.5,15,0.0021972182195378687,24465.5,24567.5,24465.5,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,9.7376166186783006,24501.322116639134,24492.332979581359,24505.493116494752,24523.734325159843,24505.990674840155,24514.862499999999,-1,0,920.54652456294798,4,4,31.759855973844516,0.00031458663388073544,-0.24125008665790809,0.46166950596251938,-0.00014243130233078654,10.989126269355017,0,0,0
2025-11-19 07:53:00.000,2025-11-19T13:53:00.0000000Z,825,24516.5,24535,24516.5,24534,2,10,0,10,15,0.0030458513052188311,24465.5,24567.5,24465.5,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,10.017473842500134,24509.912310308049,24497.833013272018,24514.204493195801,24523.734325159843,24505.990674840155,24514.862499999999,1,0,1341.4754608197431,7,7,33.999963982145765,0.00031704050488443573,-0.28492658535053839,0.39352640545144274,-0.00023401094764259405,1.7387331907456438,1,0,0
2025-11-19 07:53:30.000,2025-11-19T13:53:30.0000000Z,826,24534.25,24537,24524.5,24526.25,2,9.5,2,7.5,15,0.0032006708115183244,24465.5,24567.5,24465.5,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],,BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,10.086613603305686,24511.647262152866,24499.826241032959,24517.003594556645,24523.734325159843,24505.990674840155,24514.862499999999,1,0,1228.9836405464955,7,7,35.546118237212475,0.00031693687794012281,-0.26925579873170885,0.46166950596251938,8.1407536302673225E-05,2.2832483287197203,1,0,0
