ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-18 11:14:00.000,PLOT,1227,BULL,Triangle drawn on chart,netflow=4.25
2025-11-18 11:14:30.000,LOGGED,1228,BULL,Written to signals CSV,"price=24809.75,netflow=4.25"
2025-11-18 11:23:00.000,PLOT,1245,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 11:23:30.000,LOGGED,1246,BEAR,Written to signals CSV,"price=24805.75,netflow=0.50"
2025-11-18 11:33:30.000,PLOT,1266,BULL,Triangle drawn on chart,netflow=2.50
2025-11-18 11:34:00.000,LOGGED,1267,BULL,Written to signals CSV,"price=24802.25,netflow=2.50"
2025-11-18 11:34:00.000,PLOT,1267,BEAR,Triangle drawn on chart,netflow=3.55
2025-11-18 11:34:30.000,LOGGED,1268,BEAR,Written to signals CSV,"price=24814.00,netflow=3.55"
2025-11-18 11:34:30.000,PLOT,1268,BULL,Triangle drawn on chart,netflow=3.48
2025-11-18 11:35:00.000,LOGGED,1269,BULL,Written to signals CSV,"price=24816.50,netflow=3.48"
2025-11-18 11:35:30.000,PLOT,1270,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-18 11:36:00.000,LOGGED,1271,BEAR,Written to signals CSV,"price=24800.00,netflow=2.00"
2025-11-18 11:45:30.000,PLOT,1290,BULL,Triangle drawn on chart,netflow=2.20
2025-11-18 11:46:00.000,LOGGED,1291,BULL,Written to signals CSV,"price=24799.00,netflow=2.20"
2025-11-18 11:49:00.000,PLOT,1297,BEAR,Triangle drawn on chart,netflow=1.34
2025-11-18 11:49:30.000,LOGGED,1298,BEAR,Written to signals CSV,"price=24788.75,netflow=1.34"
2025-11-18 11:50:00.000,PLOT,1299,BULL,Triangle drawn on chart,netflow=1.47
2025-11-18 11:50:30.000,LOGGED,1300,BULL,Written to signals CSV,"price=24794.25,netflow=1.47"
2025-11-18 12:09:30.000,PLOT,1338,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-18 12:10:00.000,LOGGED,1339,BEAR,Written to signals CSV,"price=24809.75,netflow=2.00"
2025-11-18 12:19:00.000,PLOT,1357,BULL,Triangle drawn on chart,netflow=0.50
2025-11-18 12:19:30.000,LOGGED,1358,BULL,Written to signals CSV,"price=24812.75,netflow=0.50"
2025-11-18 12:19:30.000,PLOT,1358,BEAR,Triangle drawn on chart,netflow=3.63
2025-11-18 12:20:00.000,LOGGED,1359,BEAR,Written to signals CSV,"price=24819.25,netflow=3.63"
2025-11-18 12:20:00.000,PLOT,1359,BULL,Triangle drawn on chart,netflow=4.58
2025-11-18 12:20:30.000,LOGGED,1360,BULL,Written to signals CSV,"price=24813.50,netflow=4.58"
2025-11-18 12:21:00.000,PLOT,1361,BEAR,Triangle drawn on chart,netflow=2.63
2025-11-18 12:21:30.000,LOGGED,1362,BEAR,Written to signals CSV,"price=24810.50,netflow=2.63"
2025-11-18 12:31:30.000,PLOT,1382,BULL,Triangle drawn on chart,netflow=3.90
2025-11-18 12:32:00.000,LOGGED,1383,BULL,Written to signals CSV,"price=24813.50,netflow=3.90"
2025-11-18 12:40:30.000,PLOT,1400,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 12:41:00.000,LOGGED,1401,BEAR,Written to signals CSV,"price=24792.00,netflow=0.50"
2025-11-18 12:45:00.000,PLOT,1409,BULL,Triangle drawn on chart,netflow=2.00
2025-11-18 12:45:30.000,LOGGED,1410,BULL,Written to signals CSV,"price=24805.00,netflow=2.00"
2025-11-18 13:09:00.000,PLOT,1457,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-18 13:09:30.000,LOGGED,1458,BEAR,Written to signals CSV,"price=24809.50,netflow=-1.50"
2025-11-18 13:23:30.000,PLOT,1486,BULL,Triangle drawn on chart,netflow=2.50
2025-11-18 13:24:00.000,LOGGED,1487,BULL,Written to signals CSV,"price=24800.50,netflow=2.50"
2025-11-18 13:28:00.000,PLOT,1495,BEAR,Triangle drawn on chart,netflow=2.61
2025-11-18 13:28:30.000,LOGGED,1496,BEAR,Written to signals CSV,"price=24793.75,netflow=2.61"
2025-11-18 13:30:00.000,PLOT,1499,BULL,Triangle drawn on chart,netflow=3.37
2025-11-18 13:30:30.000,LOGGED,1500,BULL,Written to signals CSV,"price=24805.00,netflow=3.37"
2025-11-18 13:30:30.000,PLOT,1500,BEAR,Triangle drawn on chart,netflow=2.05
2025-11-18 13:31:00.000,LOGGED,1501,BEAR,Written to signals CSV,"price=24797.50,netflow=2.05"
2025-11-18 13:32:00.000,PLOT,1503,BULL,Triangle drawn on chart,netflow=3.03
2025-11-18 13:32:30.000,LOGGED,1504,BULL,Written to signals CSV,"price=24799.25,netflow=3.03"
2025-11-18 13:32:30.000,PLOT,1504,BEAR,Triangle drawn on chart,netflow=2.56
2025-11-18 13:33:00.000,LOGGED,1505,BEAR,Written to signals CSV,"price=24799.50,netflow=2.56"
2025-11-18 13:33:00.000,PLOT,1505,BULL,Triangle drawn on chart,netflow=0.50
2025-11-18 13:33:30.000,LOGGED,1506,BULL,Written to signals CSV,"price=24794.75,netflow=0.50"
2025-11-18 13:33:30.000,PLOT,1506,BEAR,Triangle drawn on chart,netflow=1.50
2025-11-18 13:34:00.000,LOGGED,1507,BEAR,Written to signals CSV,"price=24788.00,netflow=1.50"
2025-11-18 13:43:30.000,PLOT,1526,BULL,Triangle drawn on chart,netflow=1.56
2025-11-18 13:44:00.000,LOGGED,1527,BULL,Written to signals CSV,"price=24785.00,netflow=1.56"
2025-11-18 13:44:30.000,PLOT,1528,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-18 13:45:00.000,LOGGED,1529,BEAR,Written to signals CSV,"price=24777.25,netflow=-2.00"
2025-11-18 13:48:30.000,PLOT,1536,BULL,Triangle drawn on chart,netflow=2.26
2025-11-18 13:49:00.000,LOGGED,1537,BULL,Written to signals CSV,"price=24787.00,netflow=2.26"
2025-11-18 13:49:00.000,PLOT,1537,BEAR,Triangle drawn on chart,netflow=1.85
2025-11-18 13:49:30.000,LOGGED,1538,BEAR,Written to signals CSV,"price=24784.25,netflow=1.85"
2025-11-18 13:49:30.000,PLOT,1538,BULL,Triangle drawn on chart,netflow=1.96
2025-11-18 13:50:00.000,LOGGED,1539,BULL,Written to signals CSV,"price=24784.25,netflow=1.96"
2025-11-18 13:50:00.000,PLOT,1539,BEAR,Triangle drawn on chart,netflow=-2.50
2025-11-18 13:50:30.000,LOGGED,1540,BEAR,Written to signals CSV,"price=24774.25,netflow=-2.50"
2025-11-18 13:56:00.000,PLOT,1551,BULL,Triangle drawn on chart,netflow=3.38
2025-11-18 13:56:30.000,LOGGED,1552,BULL,Written to signals CSV,"price=24791.75,netflow=3.38"
2025-11-18 13:57:30.000,PLOT,1554,BEAR,Triangle drawn on chart,netflow=2.68
2025-11-18 13:58:00.000,LOGGED,1555,BEAR,Written to signals CSV,"price=24789.50,netflow=2.68"
2025-11-18 13:58:00.000,PLOT,1555,BULL,Triangle drawn on chart,netflow=3.93
2025-11-18 13:58:30.000,LOGGED,1556,BULL,Written to signals CSV,"price=24793.00,netflow=3.93"
2025-11-18 14:01:30.000,PLOT,1562,BEAR,Triangle drawn on chart,netflow=-1.59
2025-11-18 14:02:00.000,LOGGED,1563,BEAR,Written to signals CSV,"price=24777.25,netflow=-1.59"
2025-11-18 14:19:30.000,PLOT,1598,BULL,Triangle drawn on chart,netflow=1.33
2025-11-18 14:20:00.000,LOGGED,1599,BULL,Written to signals CSV,"price=24748.25,netflow=1.33"
2025-11-18 14:24:00.000,PLOT,1607,BEAR,Triangle drawn on chart,netflow=-0.10
2025-11-18 14:24:30.000,LOGGED,1608,BEAR,Written to signals CSV,"price=24750.00,netflow=-0.10"
2025-11-18 14:37:30.000,PLOT,1634,BULL,Triangle drawn on chart,netflow=1.21
2025-11-18 14:38:00.000,LOGGED,1635,BULL,Written to signals CSV,"price=24749.25,netflow=1.21"
2025-11-18 14:40:30.000,PLOT,1640,BEAR,Triangle drawn on chart,netflow=1.58
2025-11-18 14:41:00.000,LOGGED,1641,BEAR,Written to signals CSV,"price=24749.00,netflow=1.58"
2025-11-18 14:41:00.000,PLOT,1641,BULL,Triangle drawn on chart,netflow=1.43
2025-11-18 14:41:30.000,LOGGED,1642,BULL,Written to signals CSV,"price=24746.50,netflow=1.43"
2025-11-18 14:41:30.000,PLOT,1642,BEAR,Triangle drawn on chart,netflow=-0.12
2025-11-18 14:42:00.000,LOGGED,1643,BEAR,Written to signals CSV,"price=24737.00,netflow=-0.12"
2025-11-18 15:02:30.000,PLOT,1684,BULL,Triangle drawn on chart,netflow=2.77
