ts,method,bip,state,instrument,account,msg
2025-11-18 23:21:14.890,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24547.5 guard=24544.25 prev=24547
2025-11-18 23:21:15.395,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24546 guard=24542.75 prev=24547
2025-11-18 23:21:15.440,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:15 PM , SL_B , FromEntry=ShortB , State=ChangePending , Lmt=0 Stp=24547 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:15.533,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:15 PM , SL_B , FromEntry=ShortB , State=ChangeSubmitted , Lmt=0 Stp=24546 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:15.582,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[Runner] ShortB SL_B -> 24546
2025-11-18 23:21:15.841,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:15 PM , SL_B , FromEntry=ShortB , State=Accepted , Lmt=0 Stp=24546 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:16.326,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24545.75 guard=24542.5 prev=24546
2025-11-18 23:21:16.333,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:16 PM , SL_B , FromEntry=ShortB , State=ChangePending , Lmt=0 Stp=24546 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:16.338,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:16 PM , SL_B , FromEntry=ShortB , State=ChangeSubmitted , Lmt=0 Stp=24545.75 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:16.349,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[Runner] ShortB SL_B -> 24545.75
2025-11-18 23:21:16.476,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:16 PM , SL_B , FromEntry=ShortB , State=Accepted , Lmt=0 Stp=24545.75 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:16.605,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24545.75
2025-11-18 23:21:16.610,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:16 PM , SL_B , FromEntry=ShortB , State=ChangePending , Lmt=0 Stp=24545.75 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:16.658,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:16 PM , SL_B , FromEntry=ShortB , State=ChangeSubmitted , Lmt=0 Stp=24543.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:16.660,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[Runner] ShortB SL_B -> 24543.5
2025-11-18 23:21:16.864,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.75 guard=24540.5 prev=24543.5
2025-11-18 23:21:16.864,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:16 PM , SL_B , FromEntry=ShortB , State=Accepted , Lmt=0 Stp=24543.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:17.058,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544 guard=24540.75 prev=24543.5
2025-11-18 23:21:17.171,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24543.5
2025-11-18 23:21:17.306,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24543.5
2025-11-18 23:21:17.489,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.25 guard=24540 prev=24543.5
2025-11-18 23:21:17.603,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:17 PM , SL_B , FromEntry=ShortB , State=ChangePending , Lmt=0 Stp=24543.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:17.630,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:17 PM , SL_B , FromEntry=ShortB , State=ChangeSubmitted , Lmt=0 Stp=24543.25 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:17.655,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[Runner] ShortB SL_B -> 24543.25
2025-11-18 23:21:17.772,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:17 PM , SL_B , FromEntry=ShortB , State=Accepted , Lmt=0 Stp=24543.25 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:17.775,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.5 guard=24541.25 prev=24543.25
2025-11-18 23:21:18.024,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.25 guard=24541 prev=24543.25
