timestamp,bar,direction,open,high,low,close,openFinal,highFinal,lowFinal,closeFinal,candleType,fastEma,fastEmaGradDeg,volume,bodyPct,upperWick,lowerWick,action,orderName,quantity,price,pnl,reason,prevOpen,prevClose,prevCandleType,allowLongThisBar,allowShortThisBar,trendUpAtDecision,trendDownAtDecision,decisionBarIndex,pendingShortFromGood,pendingLongFromBad,barPattern
2025-12-15 06:50:00.000,864,FLAT,25514.2500,25515.7500,25512.7500,25515.7500,25514.2500,25515.7500,25512.7500,25515.7500,good,25514.3735,31.3960,120,0.500000,0.0000,1.5000,BAR,,0,0,,Flat,,,,True,False,False,True,864,True,False,
2025-12-15 06:52:00.000,865,FLAT,25515.7500,25522.0000,25514.5000,25521.5000,25515.7500,25522.0000,25514.5000,25521.5000,good,25516.7490,56.8636,296,0.766667,0.5000,1.2500,BAR,,0,0,,Flat,,,,True,False,True,False,865,False,False,
2025-12-15 06:56:00.000,866,FLAT,25521.0000,25524.0000,25519.0000,25521.5000,25521.0000,25524.0000,25519.0000,25521.5000,good,25518.3327,56.8636,188,0.100000,2.5000,2.0000,EXIT,Trail stop,1,25520.2500,-4.00,Trail stop,25515.7500,25521.5000,good,True,False,True,False,866,True,False,
2025-12-15 06:56:00.000,866,LONG,25521.0000,25524.0000,25519.0000,25521.5000,25521.0000,25524.0000,25519.0000,25521.5000,good,25518.3327,56.8636,188,0.100000,2.5000,2.0000,ENTRY,BarsOnTheFlowLong,1,25522.2500,,TrendUp,25515.7500,25521.5000,good,True,False,True,False,866,True,False,BGB2G
2025-12-15 06:54:00.000,866,FLAT,25521.0000,25524.0000,25519.0000,25521.5000,25521.0000,25524.0000,25519.0000,25521.5000,good,25518.3327,63.1990,188,0.100000,2.5000,2.0000,BAR,,0,0,,Flat,,,,True,False,True,False,866,False,False,
2025-12-15 06:58:00.000,867,FLAT,25522.2500,25524.7500,25520.2500,25524.0000,25522.2500,25524.7500,25520.2500,25524.0000,good,25520.2218,63.1990,277,0.388889,0.7500,2.0000,EXIT,Trail stop,1,25524.0000,0.00,Trail stop,25521.0000,25521.5000,good,True,False,True,False,867,False,False,
2025-12-15 06:58:00.000,867,LONG,25522.2500,25524.7500,25520.2500,25524.0000,25522.2500,25524.7500,25520.2500,25524.0000,good,25520.2218,63.1990,277,0.388889,0.7500,2.0000,ENTRY,BarsOnTheFlowLong,1,25524.0000,,TrendUp,25521.0000,25521.5000,good,True,False,True,False,867,False,False,GB3G
2025-12-15 06:56:00.000,867,FLAT,25522.2500,25524.7500,25520.2500,25524.0000,25522.2500,25524.7500,25520.2500,25524.0000,good,25520.2218,60.0620,277,0.388889,0.7500,2.0000,BAR,,0,0,,Flat,,,,True,False,True,False,867,False,False,
2025-12-15 07:00:00.000,868,FLAT,25524.0000,25533.5000,25522.5000,25524.2500,25524.0000,25533.5000,25522.5000,25524.2500,good,25521.5645,60.0620,778,0.022727,9.2500,1.5000,EXIT,Trail stop,1,25523.7500,-1.50,Trail stop,25522.2500,25524.0000,good,True,False,True,False,868,False,False,
2025-12-15 07:00:00.000,868,LONG,25524.0000,25533.5000,25522.5000,25524.2500,25524.0000,25533.5000,25522.5000,25524.2500,good,25521.5645,60.0620,778,0.022727,9.2500,1.5000,ENTRY,BarsOnTheFlowLong,1,25524.5000,,TrendUp,25522.2500,25524.0000,good,True,False,True,False,868,False,False,B4G
